Parametros,Rodada,Acuracia,F1ScoreMacro,TempoProcessamento,DataExecucao,Estatisticas
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",1,0.8,0.6567619047619047,0.02601909637451172,2024-02-24 22:30:04,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",2,0.86,0.7321212121212121,0.027000904083251953,2024-02-24 22:30:04,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",3,0.88,0.726657329598506,0.026511192321777344,2024-02-24 22:30:04,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",4,0.91,0.7690014903129657,0.03322720527648926,2024-02-24 22:30:05,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",5,0.86,0.7371031746031745,0.028779029846191406,2024-02-24 22:30:05,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",6,0.79,0.6563492063492062,0.026991844177246094,2024-02-24 22:30:05,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",7,0.92,0.7990810359231413,0.027194976806640625,2024-02-24 22:30:05,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",8,0.89,0.7527176527176528,0.03894519805908203,2024-02-24 22:30:05,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",9,0.96,0.8944444444444444,0.02697896957397461,2024-02-24 22:30:05,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": null}",0,0.82,0.6567301243357581,0.05493736267089844,2024-02-24 22:30:05,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": null}",1,0.78,0.6347903340440654,0.07193136215209961,2024-02-24 22:30:05,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": null}",2,0.73,0.5233395989974937,0.05535387992858887,2024-02-24 22:30:05,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": null}",3,0.86,0.7384232954545455,0.054930925369262695,2024-02-24 22:30:05,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": null}",4,0.86,0.6921711057304277,0.06534147262573242,2024-02-24 22:30:05,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": null}",5,0.81,0.6566764958069305,0.060730695724487305,2024-02-24 22:30:05,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": null}",6,0.76,0.6253048079135034,0.06390929222106934,2024-02-24 22:30:05,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": null}",7,0.88,0.7436213991769547,0.06618523597717285,2024-02-24 22:30:05,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": null}",8,0.81,0.6686136086136085,0.06805682182312012,2024-02-24 22:30:05,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": null}",9,0.86,0.7424668227946916,0.0688025951385498,2024-02-24 22:30:06,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",0,0.88,0.7247820672478207,0.07037186622619629,2024-02-24 22:30:06,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",1,0.79,0.6428571428571429,0.06749272346496582,2024-02-24 22:30:06,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",2,0.86,0.7205656565656565,0.054671525955200195,2024-02-24 22:30:06,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",3,0.89,0.7574034588959963,0.0466151237487793,2024-02-24 22:30:06,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",4,0.91,0.7619745845552297,0.04743337631225586,2024-02-24 22:30:06,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",5,0.86,0.7397486772486772,0.04395484924316406,2024-02-24 22:30:06,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",6,0.79,0.6452380952380952,0.04768037796020508,2024-02-24 22:30:06,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",7,0.92,0.7990810359231413,0.04422569274902344,2024-02-24 22:30:06,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",8,0.87,0.7195925136223644,0.05342602729797363,2024-02-24 22:30:06,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",9,0.93,0.8469945355191257,0.044533491134643555,2024-02-24 22:30:06,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
